exp_id,year,month,state,district,department,scheme,budget_allocated,amount_spent,cumulative_rate,utilization_rate,project_count,pattern_type
62,2023,2,Uttar Pradesh,Varanasi,Social Welfare,PMAY,59161120.9,72232.22,0.0024,0.12,14,flatline
63,2023,3,Uttar Pradesh,Varanasi,Social Welfare,PMAY,59161120.9,72232.22,0.0037,0.12,5,flatline
64,2023,4,Uttar Pradesh,Varanasi,Social Welfare,PMAY,59161120.9,72232.22,0.0049,0.12,11,flatline
65,2023,5,Uttar Pradesh,Varanasi,Social Welfare,PMAY,59161120.9,72232.22,0.0061,0.12,5,flatline
66,2023,6,Uttar Pradesh,Varanasi,Social Welfare,PMAY,59161120.9,72232.22,0.0073,0.12,14,flatline
67,2023,7,Uttar Pradesh,Varanasi,Social Welfare,PMAY,59161120.9,72232.22,0.0085,0.12,16,flatline
68,2023,8,Uttar Pradesh,Varanasi,Social Welfare,PMAY,59161120.9,72232.22,0.0098,0.12,12,flatline
69,2023,9,Uttar Pradesh,Varanasi,Social Welfare,PMAY,59161120.9,72232.22,0.011,0.12,6,flatline
70,2023,10,Uttar Pradesh,Varanasi,Social Welfare,PMAY,59161120.9,360827.83,0.0171,0.61,10,flatline
71,2023,11,Uttar Pradesh,Varanasi,Social Welfare,PMAY,59161120.9,793721.26,0.0305,1.34,22,flatline
72,2023,12,Uttar Pradesh,Varanasi,Social Welfare,PMAY,59161120.9,793721.26,0.0439,1.34,14,flatline
73,2023,1,Uttar Pradesh,Varanasi,Rural Development,MGNREGS,58482429.65,2992670.38,0.0512,5.12,19,spending_spike
74,2023,2,Uttar Pradesh,Varanasi,Rural Development,MGNREGS,58482429.65,2992670.38,0.1023,5.12,16,spending_spike
75,2023,3,Uttar Pradesh,Varanasi,Rural Development,MGNREGS,58482429.65,2992670.38,0.1535,5.12,24,spending_spike
76,2023,4,Uttar Pradesh,Varanasi,Rural Development,MGNREGS,58482429.65,2992670.38,0.2047,5.12,18,spending_spike
77,2023,5,Uttar Pradesh,Varanasi,Rural Development,MGNREGS,58482429.65,2992670.38,0.2559,5.12,8,spending_spike
78,2023,6,Uttar Pradesh,Varanasi,Rural Development,MGNREGS,58482429.65,2992670.38,0.307,5.12,12,spending_spike
79,2023,7,Uttar Pradesh,Varanasi,Rural Development,MGNREGS,58482429.65,12419582.1,0.5194,21.24,8,spending_spike
80,2023,8,Uttar Pradesh,Varanasi,Rural Development,MGNREGS,58482429.65,4339372.06,0.5936,7.42,11,spending_spike
81,2023,9,Uttar Pradesh,Varanasi,Rural Development,MGNREGS,58482429.65,1197068.15,0.6141,2.05,21,spending_spike
82,2023,10,Uttar Pradesh,Varanasi,Rural Development,MGNREGS,58482429.65,0.0,0.6141,0.0,21,spending_spike
83,2023,11,Uttar Pradesh,Varanasi,Rural Development,MGNREGS,58482429.65,0.0,0.6141,0.0,12,spending_spike
84,2023,12,Uttar Pradesh,Varanasi,Rural Development,MGNREGS,58482429.65,0.0,0.6141,0.0,22,spending_spike
85,2023,1,Uttar Pradesh,Varanasi,Urban Development,AMRUT,46969447.11,87204.02,0.0019,0.19,15,flatline
86,2023,2,Uttar Pradesh,Varanasi,Urban Development,AMRUT,46969447.11,87204.02,0.0037,0.19,11,flatline
87,2023,3,Uttar Pradesh,Varanasi,Urban Development,AMRUT,46969447.11,87204.02,0.0056,0.19,8,flatline
88,2023,4,Uttar Pradesh,Varanasi,Urban Development,AMRUT,46969447.11,87204.02,0.0074,0.19,20,flatline
89,2023,5,Uttar Pradesh,Varanasi,Urban Development,AMRUT,46969447.11,87204.02,0.0093,0.19,19,flatline
90,2023,6,Uttar Pradesh,Varanasi,Urban Development,AMRUT,46969447.11,87204.02,0.0111,0.19,6,flatline
91,2023,7,Uttar Pradesh,Varanasi,Urban Development,AMRUT,46969447.11,87204.02,0.013,0.19,5,flatline
92,2023,8,Uttar Pradesh,Varanasi,Urban Development,AMRUT,46969447.11,87204.02,0.0149,0.19,7,flatline
93,2023,9,Uttar Pradesh,Varanasi,Urban Development,AMRUT,46969447.11,87204.02,0.0167,0.19,8,flatline
94,2023,10,Uttar Pradesh,Varanasi,Urban Development,AMRUT,46969447.11,635176.78,0.0302,1.35,24,flatline
95,2023,11,Uttar Pradesh,Varanasi,Urban Development,AMRUT,46969447.11,1457135.92,0.0613,3.1,9,flatline
96,2023,12,Uttar Pradesh,Varanasi,Urban Development,AMRUT,46969447.11,1457135.92,0.0923,3.1,17,flatline
97,2023,1,Uttar Pradesh,Lucknow,Health,NHM,74082435.06,1032807.76,0.0139,1.39,16,severe_underutil
98,2023,2,Uttar Pradesh,Lucknow,Health,NHM,74082435.06,1032807.76,0.0279,1.39,16,severe_underutil
99,2023,3,Uttar Pradesh,Lucknow,Health,NHM,74082435.06,1032807.76,0.0418,1.39,23,severe_underutil
100,2023,4,Uttar Pradesh,Lucknow,Health,NHM,74082435.06,1032807.76,0.0558,1.39,18,severe_underutil
101,2023,5,Uttar Pradesh,Lucknow,Health,NHM,74082435.06,1032807.76,0.0697,1.39,20,severe_underutil
102,2023,6,Uttar Pradesh,Lucknow,Health,NHM,74082435.06,1032807.76,0.0836,1.39,12,severe_underutil
103,2023,7,Uttar Pradesh,Lucknow,Health,NHM,74082435.06,1032807.76,0.0976,1.39,21,severe_underutil
104,2023,8,Uttar Pradesh,Lucknow,Health,NHM,74082435.06,1032807.76,0.1115,1.39,4,severe_underutil
105,2023,9,Uttar Pradesh,Lucknow,Health,NHM,74082435.06,1032807.76,0.1255,1.39,7,severe_underutil
106,2023,10,Uttar Pradesh,Lucknow,Health,NHM,74082435.06,1032807.76,0.1394,1.39,21,severe_underutil
107,2023,11,Uttar Pradesh,Lucknow,Health,NHM,74082435.06,1032807.76,0.1534,1.39,12,severe_underutil
108,2023,12,Uttar Pradesh,Lucknow,Health,NHM,74082435.06,1032807.76,0.1673,1.39,24,severe_underutil
109,2023,1,Uttar Pradesh,Lucknow,Education,SSA,60931369.08,1227270.01,0.0201,2.01,17,healthy
110,2023,2,Uttar Pradesh,Lucknow,Education,SSA,60931369.08,1087558.27,0.038,1.78,9,healthy
111,2023,3,Uttar Pradesh,Lucknow,Education,SSA,60931369.08,1932329.24,0.0697,3.17,18,healthy
112,2023,4,Uttar Pradesh,Lucknow,Education,SSA,60931369.08,3185489.77,0.122,5.23,4,healthy
113,2023,5,Uttar Pradesh,Lucknow,Education,SSA,60931369.08,4654482.07,0.1984,7.64,12,healthy
114,2023,6,Uttar Pradesh,Lucknow,Education,SSA,60931369.08,5727691.98,0.2924,9.4,20,healthy
115,2023,7,Uttar Pradesh,Lucknow,Education,SSA,60931369.08,5727691.98,0.3864,9.4,9,healthy
116,2023,8,Uttar Pradesh,Lucknow,Education,SSA,60931369.08,4654482.07,0.4628,7.64,20,healthy
117,2023,9,Uttar Pradesh,Lucknow,Education,SSA,60931369.08,3185489.77,0.515,5.23,7,healthy
118,2023,10,Uttar Pradesh,Lucknow,Education,SSA,60931369.08,1932329.24,0.5468,3.17,24,healthy
119,2023,11,Uttar Pradesh,Lucknow,Education,SSA,60931369.08,1087558.27,0.5646,1.78,13,healthy
120,2023,12,Uttar Pradesh,Lucknow,Education,SSA,60931369.08,586427.78,0.5742,0.96,24,healthy
121,2023,1,Uttar Pradesh,Lucknow,Agriculture,PMKSY,48110345.5,61400.01,0.0013,0.13,10,flatline
122,2023,2,Uttar Pradesh,Lucknow,Agriculture,PMKSY,48110345.5,61400.01,0.0026,0.13,8,flatline
123,2023,3,Uttar Pradesh,Lucknow,Agriculture,PMKSY,48110345.5,61400.01,0.0038,0.13,15,flatline
124,2023,4,Uttar Pradesh,Lucknow,Agriculture,PMKSY,48110345.5,61400.01,0.0051,0.13,9,flatline
125,2023,5,Uttar Pradesh,Lucknow,Agriculture,PMKSY,48110345.5,61400.01,0.0064,0.13,21,flatline
126,2023,6,Uttar Pradesh,Lucknow,Agriculture,PMKSY,48110345.5,61400.01,0.0077,0.13,20,flatline
127,2023,7,Uttar Pradesh,Lucknow,Agriculture,PMKSY,48110345.5,61400.01,0.0089,0.13,4,flatline
128,2023,8,Uttar Pradesh,Lucknow,Agriculture,PMKSY,48110345.5,61400.01,0.0102,0.13,23,flatline
129,2023,9,Uttar Pradesh,Lucknow,Agriculture,PMKSY,48110345.5,61400.01,0.0115,0.13,14,flatline
130,2023,10,Uttar Pradesh,Lucknow,Agriculture,PMKSY,48110345.5,318938.56,0.0181,0.66,19,flatline
131,2023,11,Uttar Pradesh,Lucknow,Agriculture,PMKSY,48110345.5,705246.39,0.0328,1.47,4,flatline
132,2023,12,Uttar Pradesh,Lucknow,Agriculture,PMKSY,48110345.5,705246.39,0.0474,1.47,7,flatline
133,2023,1,Uttar Pradesh,Lucknow,Infrastructure,PMGSY,108358040.15,69501.43,0.0006,0.06,13,march_rush
134,2023,2,Uttar Pradesh,Lucknow,Infrastructure,PMGSY,108358040.15,69501.43,0.0013,0.06,11,march_rush
135,2023,3,Uttar Pradesh,Lucknow,Infrastructure,PMGSY,108358040.15,69501.43,0.0019,0.06,5,march_rush
136,2023,4,Uttar Pradesh,Lucknow,Infrastructure,PMGSY,108358040.15,69501.43,0.0026,0.06,11,march_rush
137,2023,5,Uttar Pradesh,Lucknow,Infrastructure,PMGSY,108358040.15,69501.43,0.0032,0.06,22,march_rush
138,2023,6,Uttar Pradesh,Lucknow,Infrastructure,PMGSY,108358040.15,69501.43,0.0038,0.06,6,march_rush
139,2023,7,Uttar Pradesh,Lucknow,Infrastructure,PMGSY,108358040.15,69501.43,0.0045,0.06,6,march_rush
140,2023,8,Uttar Pradesh,Lucknow,Infrastructure,PMGSY,108358040.15,69501.43,0.0051,0.06,19,march_rush
141,2023,9,Uttar Pradesh,Lucknow,Infrastructure,PMGSY,108358040.15,1729551.76,0.0211,1.6,6,march_rush
142,2023,10,Uttar Pradesh,Lucknow,Infrastructure,PMGSY,108358040.15,4680752.34,0.0643,4.32,21,march_rush
143,2023,11,Uttar Pradesh,Lucknow,Infrastructure,PMGSY,108358040.15,4680752.34,0.1075,4.32,8,march_rush
144,2023,12,Uttar Pradesh,Lucknow,Infrastructure,PMGSY,108358040.15,4680752.34,0.1507,4.32,8,march_rush
145,2023,1,Uttar Pradesh,Lucknow,Water Supply,JJM,41917009.87,1601835.54,0.0382,3.82,7,normal
146,2023,2,Uttar Pradesh,Lucknow,Water Supply,JJM,41917009.87,2096741.74,0.0882,5.0,11,normal
147,2023,3,Uttar Pradesh,Lucknow,Water Supply,JJM,41917009.87,1300142.52,0.1193,3.1,11,normal
148,2023,4,Uttar Pradesh,Lucknow,Water Supply,JJM,41917009.87,1321829.63,0.1508,3.15,6,normal
149,2023,5,Uttar Pradesh,Lucknow,Water Supply,JJM,41917009.87,2247271.98,0.2044,5.36,14,normal
150,2023,6,Uttar Pradesh,Lucknow,Water Supply,JJM,41917009.87,2179567.4,0.2564,5.2,4,normal
151,2023,7,Uttar Pradesh,Lucknow,Water Supply,JJM,41917009.87,283208.2,0.2632,0.68,22,normal
152,2023,8,Uttar Pradesh,Lucknow,Water Supply,JJM,41917009.87,1936165.34,0.3093,4.62,21,normal
153,2023,9,Uttar Pradesh,Lucknow,Water Supply,JJM,41917009.87,4126801.49,0.4078,9.85,11,normal
154,2023,10,Uttar Pradesh,Lucknow,Water Supply,JJM,41917009.87,492604.4,0.4195,1.18,22,normal
155,2023,11,Uttar Pradesh,Lucknow,Water Supply,JJM,41917009.87,809524.52,0.4389,1.93,11,normal
156,2023,12,Uttar Pradesh,Lucknow,Water Supply,JJM,41917009.87,1974961.74,0.486,4.71,4,normal
157,2023,1,Uttar Pradesh,Lucknow,Social Welfare,PMAY,48792683.84,24070.01,0.0005,0.05,24,flatline
158,2023,2,Uttar Pradesh,Lucknow,Social Welfare,PMAY,48792683.84,24070.01,0.001,0.05,5,flatline
159,2023,3,Uttar Pradesh,Lucknow,Social Welfare,PMAY,48792683.84,24070.01,0.0015,0.05,11,flatline
160,2023,4,Uttar Pradesh,Lucknow,Social Welfare,PMAY,48792683.84,24070.01,0.002,0.05,6,flatline
161,2023,5,Uttar Pradesh,Lucknow,Social Welfare,PMAY,48792683.84,24070.01,0.0025,0.05,5,flatline
162,2023,6,Uttar Pradesh,Lucknow,Social Welfare,PMAY,48792683.84,24070.01,0.003,0.05,14,flatline
163,2023,7,Uttar Pradesh,Lucknow,Social Welfare,PMAY,48792683.84,24070.01,0.0035,0.05,6,flatline
164,2023,8,Uttar Pradesh,Lucknow,Social Welfare,PMAY,48792683.84,24070.01,0.0039,0.05,20,flatline
165,2023,9,Uttar Pradesh,Lucknow,Social Welfare,PMAY,48792683.84,24070.01,0.0044,0.05,11,flatline
166,2023,10,Uttar Pradesh,Lucknow,Social Welfare,PMAY,48792683.84,57188.49,0.0056,0.12,12,flatline
167,2023,11,Uttar Pradesh,Lucknow,Social Welfare,PMAY,48792683.84,106866.21,0.0078,0.22,19,flatline
168,2023,12,Uttar Pradesh,Lucknow,Social Welfare,PMAY,48792683.84,106866.21,0.01,0.22,10,flatline
169,2023,1,Uttar Pradesh,Lucknow,Rural Development,MGNREGS,64753291.48,1174030.38,0.0181,1.81,22,spending_spike
170,2023,2,Uttar Pradesh,Lucknow,Rural Development,MGNREGS,64753291.48,1174030.38,0.0363,1.81,22,spending_spike
171,2023,3,Uttar Pradesh,Lucknow,Rural Development,MGNREGS,64753291.48,1174030.38,0.0544,1.81,19,spending_spike
172,2023,4,Uttar Pradesh,Lucknow,Rural Development,MGNREGS,64753291.48,1174030.38,0.0725,1.81,11,spending_spike
173,2023,5,Uttar Pradesh,Lucknow,Rural Development,MGNREGS,64753291.48,1174030.38,0.0907,1.81,19,spending_spike
174,2023,6,Uttar Pradesh,Lucknow,Rural Development,MGNREGS,64753291.48,1174030.38,0.1088,1.81,17,spending_spike
175,2023,7,Uttar Pradesh,Lucknow,Rural Development,MGNREGS,64753291.48,4872226.08,0.184,7.52,10,spending_spike
176,2023,8,Uttar Pradesh,Lucknow,Rural Development,MGNREGS,64753291.48,1702344.05,0.2103,2.63,7,spending_spike
177,2023,9,Uttar Pradesh,Lucknow,Rural Development,MGNREGS,64753291.48,469612.15,0.2176,0.73,7,spending_spike
178,2023,10,Uttar Pradesh,Lucknow,Rural Development,MGNREGS,64753291.48,0.0,0.2176,0.0,17,spending_spike
179,2023,11,Uttar Pradesh,Lucknow,Rural Development,MGNREGS,64753291.48,0.0,0.2176,0.0,15,spending_spike
180,2023,12,Uttar Pradesh,Lucknow,Rural Development,MGNREGS,64753291.48,0.0,0.2176,0.0,17,spending_spike
181,2023,1,Uttar Pradesh,Lucknow,Urban Development,AMRUT,46719872.78,1719498.8,0.0368,3.68,6,normal
182,2023,2,Uttar Pradesh,Lucknow,Urban Development,AMRUT,46719872.78,1965774.16,0.0789,4.21,18,normal
183,2023,3,Uttar Pradesh,Lucknow,Urban Development,AMRUT,46719872.78,789850.39,0.0958,1.69,21,normal
184,2023,4,Uttar Pradesh,Lucknow,Urban Development,AMRUT,46719872.78,1973803.3,0.138,4.22,7,normal
185,2023,5,Uttar Pradesh,Lucknow,Urban Development,AMRUT,46719872.78,1486798.94,0.1699,3.18,5,normal
186,2023,6,Uttar Pradesh,Lucknow,Urban Development,AMRUT,46719872.78,2828907.34,0.2304,6.06,24,normal
187,2023,7,Uttar Pradesh,Lucknow,Urban Development,AMRUT,46719872.78,93987.68,0.2324,0.2,21,normal
188,2023,8,Uttar Pradesh,Lucknow,Urban Development,AMRUT,46719872.78,1365978.88,0.2617,2.92,4,normal
189,2023,9,Uttar Pradesh,Lucknow,Urban Development,AMRUT,46719872.78,2449482.64,0.3141,5.24,6,normal
190,2023,10,Uttar Pradesh,Lucknow,Urban Development,AMRUT,46719872.78,1524543.08,0.3467,3.26,11,normal
191,2023,11,Uttar Pradesh,Lucknow,Urban Development,AMRUT,46719872.78,995181.24,0.368,2.13,9,normal
192,2023,12,Uttar Pradesh,Lucknow,Urban Development,AMRUT,46719872.78,1426439.77,0.3986,3.05,17,normal
193,2023,1,Uttar Pradesh,Kanpur,Health,NHM,71689848.31,876100.23,0.0122,1.22,10,severe_underutil
194,2023,2,Uttar Pradesh,Kanpur,Health,NHM,71689848.31,876100.23,0.0244,1.22,16,severe_underutil
195,2023,3,Uttar Pradesh,Kanpur,Health,NHM,71689848.31,876100.23,0.0367,1.22,5,severe_underutil
196,2023,4,Uttar Pradesh,Kanpur,Health,NHM,71689848.31,876100.23,0.0489,1.22,9,severe_underutil
197,2023,5,Uttar Pradesh,Kanpur,Health,NHM,71689848.31,876100.23,0.0611,1.22,16,severe_underutil
198,2023,6,Uttar Pradesh,Kanpur,Health,NHM,71689848.31,876100.23,0.0733,1.22,4,severe_underutil
199,2023,7,Uttar Pradesh,Kanpur,Health,NHM,71689848.31,876100.23,0.0855,1.22,16,severe_underutil
200,2023,8,Uttar Pradesh,Kanpur,Health,NHM,71689848.31,876100.23,0.0978,1.22,12,severe_underutil
201,2023,9,Uttar Pradesh,Kanpur,Health,NHM,71689848.31,876100.23,0.11,1.22,18,severe_underutil
202,2023,10,Uttar Pradesh,Kanpur,Health,NHM,71689848.31,876100.23,0.1222,1.22,13,severe_underutil
203,2023,11,Uttar Pradesh,Kanpur,Health,NHM,71689848.31,876100.23,0.1344,1.22,17,severe_underutil
204,2023,12,Uttar Pradesh,Kanpur,Health,NHM,71689848.31,876100.23,0.1466,1.22,21,severe_underutil
205,2023,1,Uttar Pradesh,Kanpur,Education,SSA,67107929.19,126208.15,0.0019,0.19,8,flatline
206,2023,2,Uttar Pradesh,Kanpur,Education,SSA,67107929.19,126208.15,0.0038,0.19,10,flatline
207,2023,3,Uttar Pradesh,Kanpur,Education,SSA,67107929.19,126208.15,0.0056,0.19,13,flatline
208,2023,4,Uttar Pradesh,Kanpur,Education,SSA,67107929.19,126208.15,0.0075,0.19,10,flatline
209,2023,5,Uttar Pradesh,Kanpur,Education,SSA,67107929.19,126208.15,0.0094,0.19,5,flatline
210,2023,6,Uttar Pradesh,Kanpur,Education,SSA,67107929.19,126208.15,0.0113,0.19,22,flatline
211,2023,7,Uttar Pradesh,Kanpur,Education,SSA,67107929.19,126208.15,0.0132,0.19,21,flatline
212,2023,8,Uttar Pradesh,Kanpur,Education,SSA,67107929.19,126208.15,0.015,0.19,5,flatline
213,2023,9,Uttar Pradesh,Kanpur,Education,SSA,67107929.19,126208.15,0.0169,0.19,14,flatline
214,2023,10,Uttar Pradesh,Kanpur,Education,SSA,67107929.19,930207.98,0.0308,1.39,5,flatline
215,2023,11,Uttar Pradesh,Kanpur,Education,SSA,67107929.19,2136207.72,0.0626,3.18,5,flatline
216,2023,12,Uttar Pradesh,Kanpur,Education,SSA,67107929.19,2136207.72,0.0945,3.18,22,flatline
217,2023,1,Uttar Pradesh,Kanpur,Agriculture,PMKSY,47665754.65,52355.61,0.0011,0.11,20,flatline
218,2023,2,Uttar Pradesh,Kanpur,Agriculture,PMKSY,47665754.65,52355.61,0.0022,0.11,9,flatline
219,2023,3,Uttar Pradesh,Kanpur,Agriculture,PMKSY,47665754.65,52355.61,0.0033,0.11,5,flatline
220,2023,4,Uttar Pradesh,Kanpur,Agriculture,PMKSY,47665754.65,52355.61,0.0044,0.11,20,flatline
221,2023,5,Uttar Pradesh,Kanpur,Agriculture,PMKSY,47665754.65,52355.61,0.0055,0.11,6,flatline
222,2023,6,Uttar Pradesh,Kanpur,Agriculture,PMKSY,47665754.65,52355.61,0.0066,0.11,9,flatline
223,2023,7,Uttar Pradesh,Kanpur,Agriculture,PMKSY,47665754.65,52355.61,0.0077,0.11,6,flatline
224,2023,8,Uttar Pradesh,Kanpur,Agriculture,PMKSY,47665754.65,52355.61,0.0088,0.11,23,flatline
225,2023,9,Uttar Pradesh,Kanpur,Agriculture,PMKSY,47665754.65,52355.61,0.0099,0.11,6,flatline
226,2023,10,Uttar Pradesh,Kanpur,Agriculture,PMKSY,47665754.65,238438.18,0.0149,0.5,11,flatline
227,2023,11,Uttar Pradesh,Kanpur,Agriculture,PMKSY,47665754.65,517562.04,0.0257,1.09,16,flatline
228,2023,12,Uttar Pradesh,Kanpur,Agriculture,PMKSY,47665754.65,517562.04,0.0366,1.09,7,flatline
229,2023,1,Uttar Pradesh,Kanpur,Infrastructure,PMGSY,108717968.46,42289.73,0.0004,0.04,22,march_rush
230,2023,2,Uttar Pradesh,Kanpur,Infrastructure,PMGSY,108717968.46,42289.73,0.0008,0.04,11,march_rush
