release_id,year,month,state,district,department,scheme,from_level,to_level,from_entity,to_entity,amount_released,amount_received,absorption_ratio,gap_amount
33,2023,1,Karnataka,Bengaluru,Health,NHM,District,Department,Bengaluru,Health - NHM,6388730.55,6050766.7,0.9471,337963.85
34,2023,1,Karnataka,Bengaluru,Infrastructure,PMGSY,Central,State,Central Government,Karnataka,10531646.76,9839717.57,0.9343,691929.19
35,2023,1,Karnataka,Bengaluru,Infrastructure,PMGSY,State,District,Karnataka,Bengaluru,9384409.56,8711547.39,0.9283,672862.17
36,2023,1,Karnataka,Bengaluru,Infrastructure,PMGSY,District,Department,Bengaluru,Infrastructure - PMGSY,8612342.37,6889012.66,0.7999,1723329.71
37,2023,1,Karnataka,Bengaluru,Rural Development,MGNREGS,Central,State,Central Government,Karnataka,7264142.48,7164623.73,0.9863,99518.75
38,2023,1,Karnataka,Bengaluru,Rural Development,MGNREGS,State,District,Karnataka,Bengaluru,7059610.89,6893710.03,0.9765,165900.86
39,2023,1,Karnataka,Bengaluru,Rural Development,MGNREGS,District,Department,Bengaluru,Rural Development - MGNREGS,6814870.23,6294895.63,0.9237,519974.6
40,2023,1,Karnataka,Bengaluru,Social Welfare,PMAY,Central,State,Central Government,Karnataka,6155126.15,5984629.16,0.9723,170496.99
41,2023,1,Karnataka,Bengaluru,Social Welfare,PMAY,State,District,Karnataka,Bengaluru,5943665.4,5772487.84,0.9712,171177.56
42,2023,1,Karnataka,Bengaluru,Social Welfare,PMAY,District,Department,Bengaluru,Social Welfare - PMAY,5579368.69,5150873.17,0.9232,428495.52
43,2023,1,Karnataka,Bengaluru,Urban Development,AMRUT,Central,State,Central Government,Karnataka,5313866.0,5188990.15,0.9765,124875.85
44,2023,1,Karnataka,Bengaluru,Urban Development,AMRUT,State,District,Karnataka,Bengaluru,5118836.61,4974997.3,0.9719,143839.31
45,2023,1,Karnataka,Bengaluru,Urban Development,AMRUT,District,Department,Bengaluru,Urban Development - AMRUT,4946941.48,4667933.98,0.9436,279007.5
46,2023,1,Karnataka,Bengaluru,Water Supply,JJM,Central,State,Central Government,Karnataka,4856531.07,4780283.53,0.9843,76247.54
47,2023,1,Karnataka,Bengaluru,Water Supply,JJM,State,District,Karnataka,Bengaluru,4723107.77,4572440.63,0.9681,150667.14
48,2023,1,Karnataka,Bengaluru,Water Supply,JJM,District,Department,Bengaluru,Water Supply - JJM,4520078.68,4270118.33,0.9447,249960.35
49,2023,1,Karnataka,Hubli,Agriculture,PMKSY,Central,State,Central Government,Karnataka,5229429.97,4907820.03,0.9385,321609.94
50,2023,1,Karnataka,Hubli,Agriculture,PMKSY,State,District,Karnataka,Hubli,4668666.65,4112161.59,0.8808,556505.06
51,2023,1,Karnataka,Hubli,Agriculture,PMKSY,District,Department,Hubli,Agriculture - PMKSY,3913015.61,3500192.46,0.8945,412823.15
52,2023,1,Karnataka,Hubli,Education,SSA,Central,State,Central Government,Karnataka,7345555.31,6947426.21,0.9458,398129.1
53,2023,1,Karnataka,Hubli,Education,SSA,State,District,Karnataka,Hubli,6915317.45,6188517.59,0.8949,726799.86
54,2023,1,Karnataka,Hubli,Education,SSA,District,Department,Hubli,Education - SSA,6006074.81,5422884.95,0.9029,583189.86
55,2023,1,Karnataka,Hubli,Health,NHM,Central,State,Central Government,Karnataka,8436908.81,8196456.91,0.9715,240451.9
56,2023,1,Karnataka,Hubli,Health,NHM,State,District,Karnataka,Hubli,7905380.83,7495091.56,0.9481,410289.27
57,2023,1,Karnataka,Hubli,Health,NHM,District,Department,Hubli,Health - NHM,7468745.43,7172983.11,0.9604,295762.32
58,2023,1,Karnataka,Hubli,Infrastructure,PMGSY,Central,State,Central Government,Karnataka,9633922.82,9087679.4,0.9433,546243.42
59,2023,1,Karnataka,Hubli,Infrastructure,PMGSY,State,District,Karnataka,Hubli,8998471.14,7417439.76,0.8243,1581031.38
60,2023,1,Karnataka,Hubli,Infrastructure,PMGSY,District,Department,Hubli,Infrastructure - PMGSY,7377592.9,6152174.72,0.8339,1225418.18
61,2023,1,Karnataka,Hubli,Rural Development,MGNREGS,Central,State,Central Government,Karnataka,7839793.49,7744931.99,0.9879,94861.5
62,2023,1,Karnataka,Hubli,Rural Development,MGNREGS,State,District,Karnataka,Hubli,7480831.15,7073125.85,0.9455,407705.3
63,2023,1,Karnataka,Hubli,Rural Development,MGNREGS,District,Department,Hubli,Rural Development - MGNREGS,6800080.26,6401595.56,0.9414,398484.7
64,2023,1,Karnataka,Hubli,Social Welfare,PMAY,Central,State,Central Government,Karnataka,6609191.9,6524594.24,0.9872,84597.66
65,2023,1,Karnataka,Hubli,Social Welfare,PMAY,State,District,Karnataka,Hubli,6200632.52,5986710.7,0.9655,213921.82
66,2023,1,Karnataka,Hubli,Social Welfare,PMAY,District,Department,Hubli,Social Welfare - PMAY,5812321.11,5411852.19,0.9311,400468.92
67,2023,1,Karnataka,Hubli,Urban Development,AMRUT,Central,State,Central Government,Karnataka,5323587.08,5200079.86,0.9768,123507.22
68,2023,1,Karnataka,Hubli,Urban Development,AMRUT,State,District,Karnataka,Hubli,5185236.16,4958122.82,0.9562,227113.34
69,2023,1,Karnataka,Hubli,Urban Development,AMRUT,District,Department,Hubli,Urban Development - AMRUT,4838828.06,4622048.56,0.9552,216779.5
70,2023,1,Karnataka,Hubli,Water Supply,JJM,Central,State,Central Government,Karnataka,4699359.04,4649545.83,0.9894,49813.21
71,2023,1,Karnataka,Hubli,Water Supply,JJM,State,District,Karnataka,Hubli,4640815.68,4420841.02,0.9526,219974.66
72,2023,1,Karnataka,Hubli,Water Supply,JJM,District,Department,Hubli,Water Supply - JJM,4309711.8,4029580.53,0.935,280131.27
73,2023,1,Karnataka,Mangaluru,Agriculture,PMKSY,Central,State,Central Government,Karnataka,5710752.57,5158522.8,0.9033,552229.77
74,2023,1,Karnataka,Mangaluru,Agriculture,PMKSY,State,District,Karnataka,Mangaluru,5057819.24,4654711.05,0.9203,403108.19
75,2023,1,Karnataka,Mangaluru,Agriculture,PMKSY,District,Department,Mangaluru,Agriculture - PMKSY,4433956.43,3855325.12,0.8695,578631.31
76,2023,1,Karnataka,Mangaluru,Education,SSA,Central,State,Central Government,Karnataka,6966288.44,6420131.43,0.9216,546157.01
77,2023,1,Karnataka,Mangaluru,Education,SSA,State,District,Karnataka,Mangaluru,6145637.06,5647225.89,0.9189,498411.17
78,2023,1,Karnataka,Mangaluru,Education,SSA,District,Department,Mangaluru,Education - SSA,5643174.13,4892067.65,0.8669,751106.48
79,2023,1,Karnataka,Mangaluru,Health,NHM,Central,State,Central Government,Karnataka,8022090.45,7769394.6,0.9685,252695.85
80,2023,1,Karnataka,Mangaluru,Health,NHM,State,District,Karnataka,Mangaluru,7473239.86,7045770.54,0.9428,427469.32
81,2023,1,Karnataka,Mangaluru,Health,NHM,District,Department,Mangaluru,Health - NHM,6823047.79,6101851.64,0.8943,721196.15
82,2023,1,Karnataka,Mangaluru,Infrastructure,PMGSY,Central,State,Central Government,Karnataka,10476874.84,9426044.29,0.8997,1050830.55
83,2023,1,Karnataka,Mangaluru,Infrastructure,PMGSY,State,District,Karnataka,Mangaluru,8997295.84,8174943.0,0.9086,822352.84
84,2023,1,Karnataka,Mangaluru,Infrastructure,PMGSY,District,Department,Mangaluru,Infrastructure - PMGSY,7897313.79,6307584.52,0.7987,1589729.27
85,2023,1,Karnataka,Mangaluru,Rural Development,MGNREGS,Central,State,Central Government,Karnataka,8045684.83,7899253.37,0.9818,146431.46
86,2023,1,Karnataka,Mangaluru,Rural Development,MGNREGS,State,District,Karnataka,Mangaluru,7771903.33,7311806.65,0.9408,460096.68
87,2023,1,Karnataka,Mangaluru,Rural Development,MGNREGS,District,Department,Mangaluru,Rural Development - MGNREGS,7133432.59,6643365.77,0.9313,490066.82
88,2023,1,Karnataka,Mangaluru,Social Welfare,PMAY,Central,State,Central Government,Karnataka,6041578.66,5881476.83,0.9735,160101.83
89,2023,1,Karnataka,Mangaluru,Social Welfare,PMAY,State,District,Karnataka,Mangaluru,5790589.7,5554912.7,0.9593,235677.0
90,2023,1,Karnataka,Mangaluru,Social Welfare,PMAY,District,Department,Mangaluru,Social Welfare - PMAY,5537339.73,5132560.2,0.9269,404779.53
91,2023,1,Karnataka,Mangaluru,Urban Development,AMRUT,Central,State,Central Government,Karnataka,5850463.41,5325091.8,0.9102,525371.61
92,2023,1,Karnataka,Mangaluru,Urban Development,AMRUT,State,District,Karnataka,Mangaluru,5305041.13,5080637.89,0.9577,224403.24
93,2023,1,Karnataka,Mangaluru,Urban Development,AMRUT,District,Department,Mangaluru,Urban Development - AMRUT,4892131.4,4384328.16,0.8962,507803.24
94,2023,1,Karnataka,Mangaluru,Water Supply,JJM,Central,State,Central Government,Karnataka,3968300.57,3893299.69,0.9811,75000.88
95,2023,1,Karnataka,Mangaluru,Water Supply,JJM,State,District,Karnataka,Mangaluru,3801739.13,3619635.83,0.9521,182103.3
96,2023,1,Karnataka,Mangaluru,Water Supply,JJM,District,Department,Mangaluru,Water Supply - JJM,3455503.94,3334215.75,0.9649,121288.19
97,2023,1,Karnataka,Mysuru,Agriculture,PMKSY,Central,State,Central Government,Karnataka,6309301.42,6038001.46,0.957,271299.96
98,2023,1,Karnataka,Mysuru,Agriculture,PMKSY,State,District,Karnataka,Mysuru,5838454.51,5283217.49,0.9049,555237.02
99,2023,1,Karnataka,Mysuru,Agriculture,PMKSY,District,Department,Mysuru,Agriculture - PMKSY,5210825.7,4756441.7,0.9128,454384.0
100,2023,1,Karnataka,Mysuru,Education,SSA,Central,State,Central Government,Karnataka,6642533.76,6546881.27,0.9856,95652.49
101,2023,1,Karnataka,Mysuru,Education,SSA,State,District,Karnataka,Mysuru,6429702.45,6070925.05,0.9442,358777.4
102,2023,1,Karnataka,Mysuru,Education,SSA,District,Department,Mysuru,Education - SSA,5816440.59,5612283.53,0.9649,204157.06
103,2023,1,Karnataka,Mysuru,Health,NHM,Central,State,Central Government,Karnataka,9040102.21,8143324.07,0.9008,896778.14
104,2023,1,Karnataka,Mysuru,Health,NHM,State,District,Karnataka,Mysuru,7777473.65,7282826.33,0.9364,494647.32
105,2023,1,Karnataka,Mysuru,Health,NHM,District,Department,Mysuru,Health - NHM,6920528.15,5960650.9,0.8613,959877.25
106,2023,1,Karnataka,Mysuru,Infrastructure,PMGSY,Central,State,Central Government,Karnataka,11944879.03,10988094.22,0.9199,956784.81
107,2023,1,Karnataka,Mysuru,Infrastructure,PMGSY,State,District,Karnataka,Mysuru,10796880.1,8952772.98,0.8292,1844107.12
108,2023,1,Karnataka,Mysuru,Infrastructure,PMGSY,District,Department,Mysuru,Infrastructure - PMGSY,8823933.28,7091795.18,0.8037,1732138.1
109,2023,1,Karnataka,Mysuru,Rural Development,MGNREGS,Central,State,Central Government,Karnataka,6680383.64,6461267.06,0.9672,219116.58
110,2023,1,Karnataka,Mysuru,Rural Development,MGNREGS,State,District,Karnataka,Mysuru,6348076.29,6061778.05,0.9549,286298.24
111,2023,1,Karnataka,Mysuru,Rural Development,MGNREGS,District,Department,Mysuru,Rural Development - MGNREGS,5958004.32,5301432.24,0.8898,656572.08
112,2023,1,Karnataka,Mysuru,Social Welfare,PMAY,Central,State,Central Government,Karnataka,6743164.79,6590769.27,0.9774,152395.52
113,2023,1,Karnataka,Mysuru,Social Welfare,PMAY,State,District,Karnataka,Mysuru,6348625.19,6045160.91,0.9522,303464.28
114,2023,1,Karnataka,Mysuru,Social Welfare,PMAY,District,Department,Mysuru,Social Welfare - PMAY,6037003.13,5672971.84,0.9397,364031.29
115,2023,1,Karnataka,Mysuru,Urban Development,AMRUT,Central,State,Central Government,Karnataka,5758337.05,5658141.99,0.9826,100195.06
116,2023,1,Karnataka,Mysuru,Urban Development,AMRUT,State,District,Karnataka,Mysuru,5600092.65,5404649.42,0.9651,195443.23
117,2023,1,Karnataka,Mysuru,Urban Development,AMRUT,District,Department,Mysuru,Urban Development - AMRUT,5290315.11,4997231.65,0.9446,293083.46
118,2023,1,Karnataka,Mysuru,Water Supply,JJM,Central,State,Central Government,Karnataka,4257188.69,4190776.55,0.9844,66412.14
119,2023,1,Karnataka,Mysuru,Water Supply,JJM,State,District,Karnataka,Mysuru,4040070.43,3802514.29,0.9412,237556.14
120,2023,1,Karnataka,Mysuru,Water Supply,JJM,District,Department,Mysuru,Water Supply - JJM,3735109.46,3469543.18,0.9289,265566.28
121,2023,1,Madhya Pradesh,Bhopal,Agriculture,PMKSY,Central,State,Central Government,Madhya Pradesh,4835521.12,3973347.7,0.8217,862173.42
122,2023,1,Madhya Pradesh,Bhopal,Agriculture,PMKSY,State,District,Madhya Pradesh,Bhopal,3956434.03,2716487.6,0.6866,1239946.43
123,2023,1,Madhya Pradesh,Bhopal,Agriculture,PMKSY,District,Department,Bhopal,Agriculture - PMKSY,2582762.61,1909178.12,0.7392,673584.49
124,2023,1,Madhya Pradesh,Bhopal,Education,SSA,Central,State,Central Government,Madhya Pradesh,6341260.56,5225198.7,0.824,1116061.86
125,2023,1,Madhya Pradesh,Bhopal,Education,SSA,State,District,Madhya Pradesh,Bhopal,5215694.06,4034339.36,0.7735,1181354.7
126,2023,1,Madhya Pradesh,Bhopal,Education,SSA,District,Department,Bhopal,Education - SSA,3892017.73,2560169.26,0.6578,1331848.47
127,2023,1,Madhya Pradesh,Bhopal,Health,NHM,Central,State,Central Government,Madhya Pradesh,6897431.46,6404265.11,0.9285,493166.35
128,2023,1,Madhya Pradesh,Bhopal,Health,NHM,State,District,Madhya Pradesh,Bhopal,6138325.68,5682248.08,0.9257,456077.6
129,2023,1,Madhya Pradesh,Bhopal,Health,NHM,District,Department,Bhopal,Health - NHM,5664108.86,5090334.63,0.8987,573774.23
130,2023,1,Madhya Pradesh,Bhopal,Infrastructure,PMGSY,Central,State,Central Government,Madhya Pradesh,9276509.45,7816386.86,0.8426,1460122.59
131,2023,1,Madhya Pradesh,Bhopal,Infrastructure,PMGSY,State,District,Madhya Pradesh,Bhopal,7665924.24,7119343.84,0.9287,546580.4
132,2023,1,Madhya Pradesh,Bhopal,Infrastructure,PMGSY,District,Department,Bhopal,Infrastructure - PMGSY,6813241.96,5667254.66,0.8318,1145987.3
133,2023,1,Madhya Pradesh,Bhopal,Rural Development,MGNREGS,Central,State,Central Government,Madhya Pradesh,6427360.62,6082211.35,0.9463,345149.27
134,2023,1,Madhya Pradesh,Bhopal,Rural Development,MGNREGS,State,District,Madhya Pradesh,Bhopal,5990070.64,5458751.37,0.9113,531319.27
135,2023,1,Madhya Pradesh,Bhopal,Rural Development,MGNREGS,District,Department,Bhopal,Rural Development - MGNREGS,5283932.44,4382493.57,0.8294,901438.87
136,2023,1,Madhya Pradesh,Bhopal,Social Welfare,PMAY,Central,State,Central Government,Madhya Pradesh,5299245.45,4217139.53,0.7958,1082105.92
137,2023,1,Madhya Pradesh,Bhopal,Social Welfare,PMAY,State,District,Madhya Pradesh,Bhopal,4189110.8,3285938.51,0.7844,903172.29
138,2023,1,Madhya Pradesh,Bhopal,Social Welfare,PMAY,District,Department,Bhopal,Social Welfare - PMAY,3205653.57,2164457.29,0.6752,1041196.28
139,2023,1,Madhya Pradesh,Bhopal,Urban Development,AMRUT,Central,State,Central Government,Madhya Pradesh,4903617.12,4700117.01,0.9585,203500.11
140,2023,1,Madhya Pradesh,Bhopal,Urban Development,AMRUT,State,District,Madhya Pradesh,Bhopal,4630077.48,4396721.58,0.9496,233355.9
141,2023,1,Madhya Pradesh,Bhopal,Urban Development,AMRUT,District,Department,Bhopal,Urban Development - AMRUT,4372540.79,3820288.89,0.8737,552251.9
142,2023,1,Madhya Pradesh,Bhopal,Water Supply,JJM,Central,State,Central Government,Madhya Pradesh,3808958.56,3460438.85,0.9085,348519.71
143,2023,1,Madhya Pradesh,Bhopal,Water Supply,JJM,State,District,Madhya Pradesh,Bhopal,3387472.06,2959295.59,0.8736,428176.47
144,2023,1,Madhya Pradesh,Bhopal,Water Supply,JJM,District,Department,Bhopal,Water Supply - JJM,2880222.92,2557637.95,0.888,322584.97
145,2023,1,Madhya Pradesh,Gwalior,Agriculture,PMKSY,Central,State,Central Government,Madhya Pradesh,3791652.02,2867626.42,0.7563,924025.6
146,2023,1,Madhya Pradesh,Gwalior,Agriculture,PMKSY,State,District,Madhya Pradesh,Gwalior,2728618.27,1710025.07,0.6267,1018593.2
147,2023,1,Madhya Pradesh,Gwalior,Agriculture,PMKSY,District,Department,Gwalior,Agriculture - PMKSY,1694857.2,1108436.61,0.654,586420.59
148,2023,1,Madhya Pradesh,Gwalior,Education,SSA,Central,State,Central Government,Madhya Pradesh,5829682.41,5520709.24,0.947,308973.17
149,2023,1,Madhya Pradesh,Gwalior,Education,SSA,State,District,Madhya Pradesh,Gwalior,5457219.3,4865656.73,0.8916,591562.57
150,2023,1,Madhya Pradesh,Gwalior,Education,SSA,District,Department,Gwalior,Education - SSA,4773912.46,4086469.07,0.856,687443.39
151,2023,1,Madhya Pradesh,Gwalior,Health,NHM,Central,State,Central Government,Madhya Pradesh,5404847.94,5122714.88,0.9478,282133.06
152,2023,1,Madhya Pradesh,Gwalior,Health,NHM,State,District,Madhya Pradesh,Gwalior,5005055.12,4673219.97,0.9337,331835.15
153,2023,1,Madhya Pradesh,Gwalior,Health,NHM,District,Department,Gwalior,Health - NHM,4609218.2,4232645.07,0.9183,376573.13
154,2023,1,Madhya Pradesh,Gwalior,Infrastructure,PMGSY,Central,State,Central Government,Madhya Pradesh,7419924.31,6470174.0,0.872,949750.31
155,2023,1,Madhya Pradesh,Gwalior,Infrastructure,PMGSY,State,District,Madhya Pradesh,Gwalior,6403914.95,5348549.77,0.8352,1055365.18
156,2023,1,Madhya Pradesh,Gwalior,Infrastructure,PMGSY,District,Department,Gwalior,Infrastructure - PMGSY,5198515.31,4095390.36,0.7878,1103124.95
157,2023,1,Madhya Pradesh,Gwalior,Rural Development,MGNREGS,Central,State,Central Government,Madhya Pradesh,5988629.39,5839512.52,0.9751,149116.87
158,2023,1,Madhya Pradesh,Gwalior,Rural Development,MGNREGS,State,District,Madhya Pradesh,Gwalior,5791622.71,5273272.48,0.9105,518350.23
159,2023,1,Madhya Pradesh,Gwalior,Rural Development,MGNREGS,District,Department,Gwalior,Rural Development - MGNREGS,5117434.87,4182479.52,0.8173,934955.35
160,2023,1,Madhya Pradesh,Gwalior,Social Welfare,PMAY,Central,State,Central Government,Madhya Pradesh,4673452.14,3248049.24,0.695,1425402.9
161,2023,1,Madhya Pradesh,Gwalior,Social Welfare,PMAY,State,District,Madhya Pradesh,Gwalior,3174842.54,2376687.13,0.7486,798155.41
162,2023,1,Madhya Pradesh,Gwalior,Social Welfare,PMAY,District,Department,Gwalior,Social Welfare - PMAY,2336306.9,1499909.03,0.642,836397.87
163,2023,1,Madhya Pradesh,Gwalior,Urban Development,AMRUT,Central,State,Central Government,Madhya Pradesh,4998274.58,4830332.55,0.9664,167942.03
164,2023,1,Madhya Pradesh,Gwalior,Urban Development,AMRUT,State,District,Madhya Pradesh,Gwalior,4722701.64,4397779.77,0.9312,324921.87
165,2023,1,Madhya Pradesh,Gwalior,Urban Development,AMRUT,District,Department,Gwalior,Urban Development - AMRUT,4270156.21,3703506.48,0.8673,566649.73
166,2023,1,Madhya Pradesh,Gwalior,Water Supply,JJM,Central,State,Central Government,Madhya Pradesh,3832984.33,3711095.43,0.9682,121888.9
167,2023,1,Madhya Pradesh,Gwalior,Water Supply,JJM,State,District,Madhya Pradesh,Gwalior,3528211.44,3110471.21,0.8816,417740.23
168,2023,1,Madhya Pradesh,Gwalior,Water Supply,JJM,District,Department,Gwalior,Water Supply - JJM,2962102.14,2526376.92,0.8529,435725.22
169,2023,1,Madhya Pradesh,Indore,Agriculture,PMKSY,Central,State,Central Government,Madhya Pradesh,4603161.64,3575275.65,0.7767,1027885.99
170,2023,1,Madhya Pradesh,Indore,Agriculture,PMKSY,State,District,Madhya Pradesh,Indore,3481276.97,2219662.2,0.6376,1261614.77
171,2023,1,Madhya Pradesh,Indore,Agriculture,PMKSY,District,Department,Indore,Agriculture - PMKSY,2163240.15,1451534.14,0.671,711706.01
172,2023,1,Madhya Pradesh,Indore,Education,SSA,Central,State,Central Government,Madhya Pradesh,5925745.25,5799526.88,0.9787,126218.37
173,2023,1,Madhya Pradesh,Indore,Education,SSA,State,District,Madhya Pradesh,Indore,5625107.48,5460854.34,0.9708,164253.14
174,2023,1,Madhya Pradesh,Indore,Education,SSA,District,Department,Indore,Education - SSA,5361219.32,4944652.58,0.9223,416566.74
175,2023,1,Madhya Pradesh,Indore,Health,NHM,Central,State,Central Government,Madhya Pradesh,5556127.14,5458894.92,0.9825,97232.22
176,2023,1,Madhya Pradesh,Indore,Health,NHM,State,District,Madhya Pradesh,Indore,5323278.57,5231718.18,0.9828,91560.39
177,2023,1,Madhya Pradesh,Indore,Health,NHM,District,Department,Indore,Health - NHM,5142437.24,4772696.0,0.9281,369741.24
178,2023,1,Madhya Pradesh,Indore,Infrastructure,PMGSY,Central,State,Central Government,Madhya Pradesh,9561743.42,8734652.61,0.9135,827090.81
179,2023,1,Madhya Pradesh,Indore,Infrastructure,PMGSY,State,District,Madhya Pradesh,Indore,8309498.33,7280782.44,0.8762,1028715.89
180,2023,1,Madhya Pradesh,Indore,Infrastructure,PMGSY,District,Department,Indore,Infrastructure - PMGSY,7259023.91,6079432.52,0.8375,1179591.39
181,2023,1,Madhya Pradesh,Indore,Rural Development,MGNREGS,Central,State,Central Government,Madhya Pradesh,5802094.4,5416835.33,0.9336,385259.07
182,2023,1,Madhya Pradesh,Indore,Rural Development,MGNREGS,State,District,Madhya Pradesh,Indore,5270107.59,4695138.85,0.8909,574968.74
183,2023,1,Madhya Pradesh,Indore,Rural Development,MGNREGS,District,Department,Indore,Rural Development - MGNREGS,4681397.31,3925819.78,0.8386,755577.53
184,2023,1,Madhya Pradesh,Indore,Social Welfare,PMAY,Central,State,Central Government,Madhya Pradesh,5563982.79,4523518.01,0.813,1040464.78
185,2023,1,Madhya Pradesh,Indore,Social Welfare,PMAY,State,District,Madhya Pradesh,Indore,4341625.35,2746078.03,0.6325,1595547.32
186,2023,1,Madhya Pradesh,Indore,Social Welfare,PMAY,District,Department,Indore,Social Welfare - PMAY,2622611.34,1580647.85,0.6027,1041963.49
187,2023,1,Madhya Pradesh,Indore,Urban Development,AMRUT,Central,State,Central Government,Madhya Pradesh,4784969.85,4600748.51,0.9615,184221.34
188,2023,1,Madhya Pradesh,Indore,Urban Development,AMRUT,State,District,Madhya Pradesh,Indore,4387087.14,3956713.89,0.9019,430373.25
189,2023,1,Madhya Pradesh,Indore,Urban Development,AMRUT,District,Department,Indore,Urban Development - AMRUT,3926024.69,3343402.63,0.8516,582622.06
190,2023,1,Madhya Pradesh,Indore,Water Supply,JJM,Central,State,Central Government,Madhya Pradesh,3819481.71,3534548.37,0.9254,284933.34
191,2023,1,Madhya Pradesh,Indore,Water Supply,JJM,State,District,Madhya Pradesh,Indore,3378703.92,3174968.07,0.9397,203735.85
192,2023,1,Madhya Pradesh,Indore,Water Supply,JJM,District,Department,Indore,Water Supply - JJM,3116063.34,2839980.13,0.9114,276083.21
